namelsad,sumlev,geocode,state,placefp,pop2020,hu2020
Goldston town,160,3726920,37,26920,234,131
Gorman CDP,160,3727120,37,27120,1104,432
Governors Club CDP,160,3727180,37,27180,1969,971
Governors Village CDP,160,3727182,37,27182,1512,718
Graham city,160,3727280,37,27280,17157,7840
Graingers CDP,160,3727300,37,27300,229,129
Grandfather Village village,160,3727324,37,27324,95,406
Grandy CDP,160,3727400,37,27400,2776,1386
Granite Falls town,160,3727420,37,27420,4965,2105
Granite Quarry town,160,3727440,37,27440,2984,1290
Grantsboro town,160,3727520,37,27520,692,310
Greenevers town,160,3727780,37,27780,567,287
Green Level town,160,3727870,37,27870,3152,1217
Greensboro city,160,3728000,37,28000,299035,131976
Greenville city,160,3728080,37,28080,87521,45147
Grifton town,160,3728200,37,28200,2448,1089
Grimesland town,160,3728240,37,28240,386,200
Grover town,160,3728400,37,28400,802,331
Gulf CDP,160,3728600,37,28600,122,60
Half Moon CDP,160,3728900,37,28900,7543,3100
Halifax town,160,3728920,37,28920,170,114
Hallsboro CDP,160,3729000,37,29000,382,219
Hamilton town,160,3729120,37,29120,306,165
Hamlet city,160,3729160,37,29160,6025,2822
Hampstead CDP,160,3729180,37,29180,7016,2898
Harkers Island CDP,160,3729560,37,29560,1127,1178
Harmony town,160,3729640,37,29640,543,219
Harrells town,160,3729680,37,29680,160,90
Harrellsville town,160,3729720,37,29720,85,50
Harrisburg town,160,3729800,37,29800,18967,6374
Hassell town,160,3730040,37,30040,49,31
Hatteras CDP,160,3730100,37,30100,577,813
Havelock city,160,3730120,37,30120,16621,6545
Haw River town,160,3730260,37,30260,2252,1096
Hayesville town,160,3730280,37,30280,461,229
Hays CDP,160,3730340,37,30340,1595,732
Hemby Bridge town,160,3730620,37,30620,1614,605
Henderson city,160,3730660,37,30660,15060,6876
Hendersonville city,160,3730720,37,30720,15137,8371
Henrietta CDP,160,3730800,37,30800,395,168
Hertford town,160,3730900,37,30900,1934,1009
Hickory city,160,3731060,37,31060,43490,20064
Hiddenite CDP,160,3731260,37,31260,507,247
Highlands town,160,3731360,37,31360,1072,2307
High Point city,160,3731400,37,31400,114059,47951
High Shoals city,160,3731440,37,31440,595,259
Hightsville CDP,160,3731490,37,31490,710,171
Hildebran town,160,3731500,37,31500,1679,773
Hillsborough town,160,3731620,37,31620,9660,4267
Hobgood town,160,3731860,37,31860,268,158
Hobucken CDP,160,3731880,37,31880,99,101
Hoffman town,160,3731920,37,31920,418,208
Holden Beach town,160,3731960,37,31960,921,2303
Hollister CDP,160,3732100,37,32100,618,340
Holly Ridge town,160,3732180,37,32180,4171,2205
Holly Springs town,160,3732260,37,32260,41239,14237
Hookerton town,160,3732540,37,32540,413,192
Hoopers Creek CDP,160,3732580,37,32580,1074,493
Hope Mills town,160,3732640,37,32640,17808,7060
Horse Shoe CDP,160,3732740,37,32740,2430,1035
Hot Springs town,160,3732840,37,32840,520,315
Hudson town,160,3732980,37,32980,3780,1717
Huntersville town,160,3733120,37,33120,61376,23962
Icard CDP,160,3733320,37,33320,2452,1083
Indian Beach town,160,3733460,37,33460,223,1689
Indian Trail town,160,3733560,37,33560,39997,13712
Ingold CDP,160,3733640,37,33640,416,180
Iron Station CDP,160,3733820,37,33820,825,341
Ivanhoe CDP,160,3733940,37,33940,198,107
JAARS CDP,160,3733993,37,33993,471,211
Jackson town,160,3734000,37,34000,430,235
Jackson Heights CDP,160,3734038,37,34038,1071,474
Jackson Springs CDP,160,3734160,37,34160,154,70
Jacksonville city,160,3734200,37,34200,72723,24004
James City CDP,160,3734260,37,34260,5291,2532
Jamestown town,160,3734300,37,34300,3668,1739
Jamesville town,160,3734320,37,34320,424,227
Jefferson town,160,3734440,37,34440,1622,782
Jonesville town,160,3734840,37,34840,2308,1132
Kannapolis city,160,3735200,37,35200,53114,21963
Keener CDP,160,3735340,37,35340,540,226
Kelford town,160,3735360,37,35360,203,112
Kelly CDP,160,3735440,37,35440,446,256
Kenansville town,160,3735460,37,35460,770,367
Kenly town,160,3735540,37,35540,1491,709
Kernersville town,160,3735600,37,35600,26449,12563
Kill Devil Hills town,160,3735720,37,35720,7656,7020
King city,160,3735760,37,35760,7197,3159
Kings Grant CDP,160,3735870,37,35870,8466,3705
Kings Mountain city,160,3735880,37,35880,11142,4883
Kingstown town,160,3735890,37,35890,656,271
Kinston city,160,3735920,37,35920,19900,10476
Kittrell town,160,3736020,37,36020,132,64
Kitty Hawk town,160,3736060,37,36060,3689,3207
Knightdale town,160,3736080,37,36080,19435,7635
Kure Beach town,160,3736220,37,36220,2191,2121
La Grange town,160,3736400,37,36400,2595,1342
Lake Junaluska CDP,160,3736480,37,36480,3219,2018
Lake Lure town,160,3736500,37,36500,1365,2250
Lake Norman of Catawba CDP,160,3736510,37,36510,8658,4548
Lake Norman of Iredell CDP,160,3736511,37,36511,11395,4753
Lake Park village,160,3736512,37,36512,3269,1254
Lake Royale CDP,160,3736513,37,36513,3392,2489
Lake Santeetlah town,160,3736514,37,36514,38,118
Lake Waccamaw town,160,3736640,37,36640,1296,958
Landis town,160,3736860,37,36860,3690,1639
Lansing town,160,3736960,37,36960,126,78
Lasker town,160,3737000,37,37000,64,49
Lattimore town,160,3737040,37,37040,406,146
Laurel Hill CDP,160,3737120,37,37120,1121,529
Laurel Park town,160,3737160,37,37160,2250,1310
Laurinburg city,160,3737220,37,37220,14978,6805
Lawndale town,160,3737260,37,37260,570,282
Leggett town,160,3737640,37,37640,37,24
Leland town,160,3737680,37,37680,22908,10905
Lenoir city,160,3737760,37,37760,18352,8401
Lewiston Woodville town,160,3738030,37,38030,426,215
Lewisville town,160,3738040,37,38040,13381,5485
Lexington city,160,3738060,37,38060,19632,8906
Liberty town,160,3738100,37,38100,2655,1209
Light Oak CDP,160,3738170,37,38170,697,311
Lilesville town,160,3738200,37,38200,395,189
Lillington town,160,3738220,37,38220,4735,1504
Lincolnton city,160,3738320,37,38320,11091,5225
Linden town,160,3738360,37,38360,136,64
Linville CDP,160,3738420,37,38420,283,343
Littleton town,160,3738680,37,38680,559,342
Locust city,160,3738860,37,38860,4537,1925
Long Creek CDP,160,3739060,37,39060,277,130
Long View town,160,3739280,37,39280,5088,2353
Louisburg town,160,3739360,37,39360,3064,1283
Love Valley town,160,3739420,37,39420,154,192
Lowell city,160,3739480,37,39480,3654,1598
Lowesville CDP,160,3739520,37,39520,3281,1321
Lowgap CDP,160,3739540,37,39540,267,140
Lucama town,160,3739600,37,39600,1036,475
Lumber Bridge town,160,3739680,37,39680,82,37
Lumberton city,160,3739700,37,39700,19025,8531
McAdenville town,160,3739880,37,39880,890,375
