sumlev,geocode,namelsad,coname,state,county,placefp,pop2020,hu2020
155,3722080047,Evergreen CDP,Columbus County,37,47,22080,336,165
155,3722240047,Fair Bluff town,Columbus County,37,47,22240,709,417
155,3722280095,Fairfield CDP,Hyde County,37,95,22280,231,127
155,3722305049,Fairfield Harbour CDP,Craven County,37,49,22305,2767,1744
155,3722360155,Fairmont town,Robeson County,37,155,22360,2191,1107
155,3722380193,Fairplains CDP,Wilkes County,37,193,22380,2029,939
155,3722440021,Fairview CDP,Buncombe County,37,21,22440,2771,1256
155,3722500179,Fairview town,Union County,37,179,22500,3456,1364
155,3722560061,Faison town,Duplin County,37,61,22560,784,387
155,3722560163,Faison town,Sampson County,37,163,22560,0,0
155,3722600159,Faith town,Rowan County,37,159,22600,819,354
155,3722620163,Falcon town,Sampson County,37,163,22620,0,0
155,3722620051,Falcon town,Cumberland County,37,51,22620,324,88
155,3722640147,Falkland town,Pitt County,37,147,22640,47,29
155,3722720045,Fallston town,Cleveland County,37,45,22720,627,261
155,3722800059,Farmington CDP,Davie County,37,59,22800,291,140
155,3722820147,Farmville town,Pitt County,37,147,22820,4461,2237
155,3722920051,Fayetteville city,Cumberland County,37,51,22920,208501,90326
155,3722982037,Fearrington Village CDP,Chatham County,37,37,22982,2557,1605
155,3723520093,Five Points CDP,Hoke County,37,93,23520,961,373
155,3723600089,Flat Rock village,Henderson County,37,89,23600,3486,2176
155,3723640171,Flat Rock CDP,Surry County,37,171,23640,1326,720
155,3723760089,Fletcher town,Henderson County,37,89,23760,7987,3642
155,3723980075,Fontana Dam town,Graham County,37,75,23980,13,70
155,3724080161,Forest City town,Rutherford County,37,161,24080,7377,3511
155,3724170099,Forest Hills village,Jackson County,37,99,24170,303,194
155,3724198081,Forest Oaks CDP,Guilford County,37,81,24198,4209,1664
155,3724380189,Foscoe CDP,Watauga County,37,189,24380,1457,1555
155,3724440147,Fountain town,Pitt County,37,147,24440,385,195
155,3724520101,Four Oaks town,Johnston County,37,101,24520,2158,955
155,3724570125,Foxfire village,Moore County,37,125,24570,1288,648
155,3724640113,Franklin town,Macon County,37,113,24640,4175,2299
155,3724720069,Franklinton town,Franklin County,37,69,24720,2456,1169
155,3724740151,Franklinville town,Randolph County,37,151,24740,1197,468
155,3724900191,Fremont town,Wayne County,37,191,24900,1196,598
155,3725020055,Frisco CDP,Dare County,37,55,25020,994,1088
155,3725160089,Fruitland CDP,Henderson County,37,89,25160,2257,1349
155,3725300085,Fuquay-Varina town,Harnett County,37,85,25300,0,0
155,3725300183,Fuquay-Varina town,Wake County,37,183,25300,34152,13204
155,3725380027,Gamewell town,Caldwell County,37,27,25380,3702,1683
155,3725460163,Garland town,Sampson County,37,163,25460,595,287
155,3725480183,Garner town,Wake County,37,183,25480,31159,13779
155,3725540131,Garysburg town,Northampton County,37,131,25540,904,502
155,3725560131,Gaston town,Northampton County,37,131,25560,1008,482
155,3725580071,Gastonia city,Gaston County,37,71,25580,80411,34346
155,3725680073,Gatesville town,Gates County,37,73,25680,267,145
155,3725880169,Germanton CDP,Stokes County,37,169,25880,297,143
155,3725880067,Germanton CDP,Forsyth County,37,67,25880,493,246
155,3725900089,Gerton CDP,Henderson County,37,89,25900,290,258
155,3725940165,Gibson town,Scotland County,37,165,25940,449,218
155,3725980081,Gibsonville town,Guilford County,37,81,25980,4642,1940
155,3725980001,Gibsonville town,Alamance County,37,1,25980,4278,1713
155,3726200023,Glen Alpine town,Burke County,37,23,26200,1529,678
155,3726460001,Glen Raven CDP,Alamance County,37,1,26460,3239,1272
155,3726520099,Glenville CDP,Jackson County,37,99,26520,155,242
155,3726560111,Glenwood CDP,McDowell County,37,111,26560,501,233
155,3726680031,Gloucester CDP,Carteret County,37,31,26680,495,315
155,3726740051,Godwin town,Cumberland County,37,51,26740,128,58
155,3726800159,Gold Hill CDP,Rowan County,37,159,26800,372,168
155,3726880191,Goldsboro city,Wayne County,37,191,26880,33657,16213
155,3726920037,Goldston town,Chatham County,37,37,26920,234,131
155,3727120063,Gorman CDP,Durham County,37,63,27120,1104,432
155,3727180037,Governors Club CDP,Chatham County,37,37,27180,1969,971
155,3727182037,Governors Village CDP,Chatham County,37,37,27182,1512,718
155,3727280001,Graham city,Alamance County,37,1,27280,17157,7840
155,3727300107,Graingers CDP,Lenoir County,37,107,27300,229,129
155,3727324011,Grandfather Village village,Avery County,37,11,27324,95,406
155,3727400053,Grandy CDP,Currituck County,37,53,27400,2776,1386
155,3727420027,Granite Falls town,Caldwell County,37,27,27420,4965,2105
155,3727440159,Granite Quarry town,Rowan County,37,159,27440,2984,1290
155,3727520137,Grantsboro town,Pamlico County,37,137,27520,692,310
155,3727780061,Greenevers town,Duplin County,37,61,27780,567,287
155,3727870001,Green Level town,Alamance County,37,1,27870,3152,1217
155,3728000081,Greensboro city,Guilford County,37,81,28000,299035,131976
155,3728080147,Greenville city,Pitt County,37,147,28080,87521,45147
155,3728200107,Grifton town,Lenoir County,37,107,28200,147,81
155,3728200147,Grifton town,Pitt County,37,147,28200,2301,1008
155,3728240147,Grimesland town,Pitt County,37,147,28240,386,200
155,3728400045,Grover town,Cleveland County,37,45,28400,802,331
155,3728600037,Gulf CDP,Chatham County,37,37,28600,122,60
155,3728900133,Half Moon CDP,Onslow County,37,133,28900,7543,3100
155,3728920083,Halifax town,Halifax County,37,83,28920,170,114
155,3729000047,Hallsboro CDP,Columbus County,37,47,29000,382,219
155,3729120117,Hamilton town,Martin County,37,117,29120,306,165
155,3729160153,Hamlet city,Richmond County,37,153,29160,6025,2822
155,3729180141,Hampstead CDP,Pender County,37,141,29180,7016,2898
155,3729560031,Harkers Island CDP,Carteret County,37,31,29560,1127,1178
155,3729640097,Harmony town,Iredell County,37,97,29640,543,219
155,3729680061,Harrells town,Duplin County,37,61,29680,0,0
155,3729680163,Harrells town,Sampson County,37,163,29680,160,90
155,3729720091,Harrellsville town,Hertford County,37,91,29720,85,50
155,3729800025,Harrisburg town,Cabarrus County,37,25,29800,18967,6374
155,3730040117,Hassell town,Martin County,37,117,30040,49,31
155,3730100055,Hatteras CDP,Dare County,37,55,30100,577,813
155,3730120049,Havelock city,Craven County,37,49,30120,16621,6545
155,3730260001,Haw River town,Alamance County,37,1,30260,2252,1096
155,3730280043,Hayesville town,Clay County,37,43,30280,461,229
155,3730340193,Hays CDP,Wilkes County,37,193,30340,1595,732
155,3730620179,Hemby Bridge town,Union County,37,179,30620,1614,605
155,3730660181,Henderson city,Vance County,37,181,30660,15060,6876
155,3730720089,Hendersonville city,Henderson County,37,89,30720,15137,8371
155,3730800161,Henrietta CDP,Rutherford County,37,161,30800,395,168
155,3730900143,Hertford town,Perquimans County,37,143,30900,1934,1009
155,3731060027,Hickory city,Caldwell County,37,27,31060,32,17
155,3731060023,Hickory city,Burke County,37,23,31060,79,35
155,3731060035,Hickory city,Catawba County,37,35,31060,43379,20012
155,3731260003,Hiddenite CDP,Alexander County,37,3,31260,507,247
155,3731360099,Highlands town,Jackson County,37,99,31360,12,40
155,3731360113,Highlands town,Macon County,37,113,31360,1060,2267
155,3731400081,High Point city,Guilford County,37,81,31400,107321,45119
155,3731400067,High Point city,Forsyth County,37,67,31400,84,8
155,3731400057,High Point city,Davidson County,37,57,31400,6646,2816
155,3731400151,High Point city,Randolph County,37,151,31400,8,8
155,3731440071,High Shoals city,Gaston County,37,71,31440,595,259
155,3731490129,Hightsville CDP,New Hanover County,37,129,31490,710,171
155,3731500023,Hildebran town,Burke County,37,23,31500,1679,773
155,3731620135,Hillsborough town,Orange County,37,135,31620,9660,4267
155,3731860083,Hobgood town,Halifax County,37,83,31860,268,158
155,3731880137,Hobucken CDP,Pamlico County,37,137,31880,99,101
155,3731920153,Hoffman town,Richmond County,37,153,31920,418,208
155,3731960019,Holden Beach town,Brunswick County,37,19,31960,921,2303
155,3732100083,Hollister CDP,Halifax County,37,83,32100,618,340
155,3732180133,Holly Ridge town,Onslow County,37,133,32180,4171,2205
155,3732260183,Holly Springs town,Wake County,37,183,32260,41239,14237
155,3732540079,Hookerton town,Greene County,37,79,32540,413,192
155,3732580089,Hoopers Creek CDP,Henderson County,37,89,32580,1074,493
155,3732640051,Hope Mills town,Cumberland County,37,51,32640,17808,7060
155,3732740089,Horse Shoe CDP,Henderson County,37,89,32740,2430,1035
155,3732840115,Hot Springs town,Madison County,37,115,32840,520,315
